["South Sudan", "Sudan"]
["Sudan", "South Sudan"]
["Sudan", "South Sudan"]
["Madagascar", "France", "Comoros"]
["France", "Madagascar"]
["Madagascar", "France"]
["France", "Madagascar"]
["Morocco", "Spain"]
["Spain", "Morocco"]
["Morocco", "Spain"]
["United Kingdom", "Mauritius", "Maldives"]
["Eritrea", "Djibouti"]
["Eritrea", "Djibouti"]
["Madagascar", "France", "Comoros"]
["Sudan", "Egypt"]
["Kenya", "South Sudan"]
["Eswatini", "South Africa"]
["Eswatini", "South Africa"]
["Burkina Faso", "Benin"]
["Ivory Coast", "Guinea"]
["Uganda", "South Sudan"]
["Uganda", "South Sudan"]
["Zambia", "Democratic Republic of Congo"]
["Democratic Republic of Congo", "Zambia"]
["France", "Comoros"]
["Tanzania", "Malawi"]
["Malawi", "Tanzania"]
["Equatorial Guinea", "Gabon"]
["Equatorial Guinea", "Gabon"]
["Equatorial Guinea", "Gabon"]
["Kenya", "Uganda"]
["Kenya", "Uganda"]
["Uganda", "Kenya"]
["Uganda", "Kenya"]
["Uganda", "Kenya"]
["Kenya", "Uganda"]
["Uganda", "Kenya"]
["Republic of the Congo", "Democratic Republic of Congo"]
["Equatorial Guinea", "Cameroon"]
["Nigeria", "Benin"]
["South Africa", "Namibia"]
["Democratic Republic of Congo", "Uganda"]
["Uganda", "Democratic Republic of Congo"]
["Zimbabwe", "Zambia"]
["Somalia", "Yemen"]
["Mauritius", "France"]
["Sudan", "Egypt"]
["Australia", "Indonesia"]
["Syria", "Lebanon"]
["Syria", "Lebanon"]
["Syria", "Lebanon"]
["Syria", "Lebanon"]
["Lebanon", "Syria"]
["Lebanon", "Syria"]
["Syria", "Lebanon"]
["Iraq", "Iran"]
["Iran", "United Arab Emirates"]
["United Arab Emirates", "Iran"]
["Azerbaijan", "Armenia"]
["Azerbaijan", "Armenia"]
["India", "Pakistan"]
["India", "Pakistan"]
["India", "Pakistan"]
["People's Republic of China", "China", "India", "Republic of China"]
["India", "China"]
["China", "India"]
["Georgia", "Azerbaijan"]
["Myanmar", "Thailand"]
["Qatar", "Bahrain"]
["Qatar", "Bahrain"]
["Kyrgyzstan", "Tajikistan", "Uzbekistan"]
["Tajikistan", "Kyrgyzstan"]
["Malaysia", "Indonesia"]
["India", "Myanmar"]
["Lebanon", "Israel", "Syria"]
